Settore Merceologico Principale,Settore Merceologico Secondario,Insegna,Tipo via,Via,Civico,Codice via,ZD,Accesso,Isolato,Settore Storico Cf Preval,Superficie Vendita,Superficie Altri Usi
alimentare,NP,NP,CSO,VENTIDUE MARZO,23,3074,4,esterno,36,salumeria - rosticceria - cibi,58.0,28.0
alimentare,NP,NP,CSO,VENTIDUE MARZO,30,3074,4,esterno,260,panificio (con forno),35.0,35.0
alimentare,NP,NP,CSO,VENTIDUE MARZO,36,3074,4,NP,260,bibite e bevande analcoliche,20.0,50.0
alimentare,NP,NP,CSO,VENTIDUE MARZO,36,3074,4,NP,260,gelateria,12.0,0.0
alimentare,NP,NP,CSO,VENTIDUE MARZO,40,3074,4,esterno,260,bibite e bevande analcoliche,12.0,0.0
alimentare,NP,NP,CSO,VENTIDUE MARZO,49,3074,4,esterno,249,pescheria,16.0,32.0
alimentare,NP,NP,CSO,VENTIDUE MARZO,5,3074,4,NP,NP,"gelato, panna, frullati, ecc...",20.0,28.0
alimentare,NP,NP,CSO,VENTIDUE MARZO,63,3074,4,esterno,252,bibite e bevande analcoliche,35.0,23.0
alimentare,NP,NP,CSO,VERCELLI,14,6193,7,esterno,216,salumeria - rosticceria - cibi,128.0,4.0
alimentare,NP,NP,CSO,VERCELLI,37,6193,7,esterno,235,minimercati,17.0,36.0
alimentare,NP,NP,CSO,VERCELLI,9,6193,7,esterno,236,cibi cotti da asportare,32.0,30.0
alimentare,NP,NP,CSO,VITTORIO EMANUELE II,24,214,1,esterno,360,minimercati,87.0,3413.0
alimentare,NP,NP,FOR,BUONAPARTE,63,711,1,esterno,239,vini - olii e liquori in recip,35.0,0.0
alimentare,NP,NP,GLL,DEL CORSO,4,305,1,esterno,360,panetteria,28.0,30.0
alimentare,NP,NP,GLL,SAN BABILA,4/B,360,1,NP,264,pasticceria,40.0,140.0
alimentare,NP,NP,GLL,UNIONE,4,510,1,NP,470,bibite e bevande analcoliche,5.0,54.0
alimentare,NP,NP,LGO,BRASILIA,4,6145,6,esterno,120,macelleria,22.0,20.0
alimentare,NP,NP,LGO,DELLA CROCETTA,1,654,1,esterno,115,salumeria,24.0,53.0
alimentare,NP,NP,LGO,GUERRIERI GONZAGA ANSELMO,1,3371,4,esterno,114,macelleria,88.0,25.0
alimentare,NP,NP,LGO,GUERRIERI GONZAGA ANSELMO,1,3371,4,interno,114,"frutta, verdura e funghi",26.0,32.0
alimentare,NP,NP,LGO,GUERRIERI GONZAGA ANSELMO,1,3371,4,interno,114,latteria,44.0,0.0
alimentare,NP,NP,LGO,GUERRIERI GONZAGA ANSELMO,1,3371,4,interno,114,panetteria,51.0,30.0
alimentare,NP,NP,LGO,GUERRIERI GONZAGA ANSELMO,1,3371,4,interno,114,pescheria,42.0,0.0
alimentare,NP,NP,LGO,GUERRIERI GONZAGA ANSELMO,1,3371,4,interno,114,polleria,44.0,0.0
alimentare,NP,NP,LGO,GUERRIERI GONZAGA ANSELMO,1,3371,4,interno,114,salumeria,44.0,1.0
alimentare,NP,NP,LGO,GUERRIERI GONZAGA ANSELMO,1,3371,4,interno,114,macelleria,44.0,0.0
alimentare,NP,NP,LGO,MURANI ORESTE,2,3234,3,esterno,151,panetteria,32.0,40.0
alimentare,NP,NP,LGO,RICHINI FRANCESCO,14,331,1,esterno,326,macelleria,25.0,0.0
alimentare,NP,NP,LGO,RODARI GIANNI,2,3305,4,esterno,271,panetteria,26.0,14.0
alimentare,NP,NP,LGO,RODARI GIANNI,2,3305,4,NP,271,bibite e bevande analcoliche,1.0,67.0
alimentare,NP,NP,LGO,SCALABRINI GIOVANNI BATTISTA,2,5392,6,NP,141,vini - olii e liquori in recip,27.0,35.0
alimentare,NP,NP,LGO,USUELLI CELESTINO,1,2192,3,esterno,94,macelleria,44.0,0.0
alimentare,NP,NP,VIA,SETTEMBRINI LUIGI,34,2127,3,esterno,NP,bar,2.0,0.0
alimentare,NP,NP,VIA,RONCHI,39,2655,3,interno,139,salumeria,190.0,200.0
alimentare,NP,NP,VIA,ARBE,33,1352,2,interno,995,dolciumi,5.0,65.0
alimentare,NP,NP,VIA,BANDELLO MATTEO,1,6214,1,interno,998,pasticceria,100.0,0.0
alimentare,NP,NP,VIA,PORPORA NICOLA ANTONIO,125,2229,3,NP,NP,alimentare,104.0,3.0
alimentare,NP,NP,PAS,DUOMO,2,102,1,esterno,436,gelateria,32.0,0.0
alimentare,NP,NP,PLE,ACCURSIO FRANCESCO,4,7386,8,NP,294,bibite e bevande analcoliche,20.0,30.0
alimentare,NP,NP,PLE,BACONE FRANCESCO,12,2100,3,esterno,37,drogheria,10.0,6.0
alimentare,NP,NP,PLE,BACONE FRANCESCO,6,2100,3,esterno,37,macelleria islamica,34.0,20.0
alimentare,NP,NP,PLE,BAIAMONTI ANTONIO,2,7235,9,NP,NP,bibite e bevande,22.0,40.0
alimentare,NP,NP,PLE,BARACCA FRANCESCO,10,6180,7,esterno,217,panetteria,18.0,6.0
alimentare,NP,NP,PLE,CADORNA LUIGI,2,601,1,esterno,238,vini - olii e liquori in recip,20.0,55.0
alimentare,NP,NP,PLE,CHIESA DAMIANO,11,7164,8,esterno,344,panificio (con forno),36.0,69.0
alimentare,NP,NP,PLE,CORVETTO LUIGI EMANUELE,1,4174,4,esterno,53,salumeria - rosticceria - cibi,24.0,17.0
alimentare,NP,NP,PLE,CORVETTO LUIGI EMANUELE,3,4174,4,esterno,57,"frutta, verdura e funghi",23.0,0.0
alimentare,NP,NP,PLE,CORVETTO LUIGI EMANUELE,7,4174,4,esterno,65,bibite e bevande analcoliche,30.0,20.0
alimentare,NP,NP,PLE,CUOCO VINCENZO,5,3163,4,NP,130,bibite e bevande analcoliche,4.0,33.0
alimentare,NP,NP,PLE,DI PORTA LODOVICA,6,4039,5,NP,98,bibite e bevande analcoliche,49.0,6.0
alimentare,NP,NP,PLE,FERRARA,2,4158,4,interno,125,"frutta, verdura e funghi",26.0,0.0
alimentare,NP,NP,PLE,FERRARA,2,4158,4,interno,125,macelleria,43.0,0.0
alimentare,NP,NP,PLE,FERRARA,2,4158,4,interno,125,pescheria,29.0,0.0
alimentare,NP,NP,PLE,FERRARA,2,4158,4,esterno,125,salumeria - rosticceria - cibi,53.0,3.0
alimentare,NP,NP,PLE,FERRARA,2,4158,4,interno,125,polleria,27.0,0.0
alimentare,NP,NP,PLE,FERRARA,2,4158,4,interno,125,salumeria,28.0,10.0
alimentare,NP,NP,PLE,FERRARA,2,4158,4,interno,125,latteria,27.0,0.0
alimentare,NP,NP,PLE,GAMBARA VERONICA,5,6593,7,esterno,19,salumeria - rosticceria - cibi,22.0,30.0
alimentare,NP,NP,PLE,GORINI PAOLO,11,3170,3,esterno,148,panineria - focacceria,30.0,40.0
alimentare,NP,NP,PLE,GORINI PAOLO,2,3170,3,esterno,162,bar,60.0,5.0
alimentare,NP,NP,PLE,ISTRIA,1,1347,9,esterno,28,"frutta, verdura e funghi",25.0,15.0
alimentare,NP,NP,PLE,LAGOSTA,2,1155,9,esterno,278,panetteria,19.0,9.0
alimentare,NP,NP,PLE,LAGOSTA,6,1155,9,esterno,279,pasticceria - gelateria,60.0,100.0
alimentare,NP,NP,PLE,LAGOSTA,7,1155,9,esterno,NP,macelleria,32.0,0.0
alimentare,NP,NP,PLE,LAGOSTA,7,1155,9,esterno,NP,salumeria - rosticceria - cibi,14.0,2.0
alimentare,NP,NP,PLE,LAGOSTA,7,1155,9,interno,NP,"frutta, verdura e funghi",27.0,0.0
alimentare,NP,NP,PLE,LAGOSTA,7,1155,9,interno,NP,latteria,29.0,0.0
alimentare,NP,NP,PLE,LAGOSTA,7,1155,9,interno,NP,polleria,13.0,1.0
alimentare,NP,NP,PLE,LAGOSTA,7,1155,9,esterno,NP,panetteria,27.0,2.0
alimentare,NP,NP,PLE,LAGOSTA,7,1155,9,esterno,NP,drogheria,13.0,0.0
alimentare,NP,NP,PLE,LAGOSTA,7,1155,9,NP,NP,macelleria,15.0,0.0
alimentare,NP,NP,PLE,MACIACHINI CARLO,20,1361,9,NP,NP,gelati,16.0,2.0
alimentare,NP,NP,PLE,MARTINI FERDINANDO,10,3219,4,esterno,78,panificio (con forno),45.0,80.0
alimentare,NP,NP,PLE,MARTINI FERDINANDO,1,3219,4,esterno,63,bibite e bevande analcoliche,150.0,0.0
alimentare,NP,NP,PLE,MARTINI FERDINANDO,2,3219,4,esterno,77,vini - olii e liquori in recip,23.0,11.0
alimentare,NP,NP,PLE,NIGRA COSTANTINO,2,1236,9,esterno,97,panificio (con forno),30.0,100.0
alimentare,NP,NP,PLE,ROSA GABRIELE,11,4288,4,esterno,127,panetteria,20.0,15.0
alimentare,NP,NP,PLE,SIENA,4,6616,7,esterno,191,panetteria,18.0,20.0
alimentare,NP,NP,PLE,STAZIONE DI PORTA GENOVA,2,5120,6,esterno,48,paste alimentari,36.0,40.0
alimentare,NP,NP,PLE,UDINE,1,2651,3,esterno,66,bibite e bevande analcoliche,1.0,27.0
alimentare,NP,NP,PLE,VELASQUEZ DIEGO,9,6595,7,esterno,291,panificio (con forno),55.0,50.0
alimentare,NP,NP,PTA,GIORDANO UMBERTO,2,345,1,esterno,264,pasticceria,20.0,150.0
alimentare,NP,NP,PZA,AMATI CARLO,1,6629,7,esterno,270,pasticceria - gelateria,55.0,23.0
alimentare,NP,NP,PZA,AMBROSOLI GIORGIO,3,6317,7,NP,240,bibite e bevande analcoliche,30.0,20.0
alimentare,NP,NP,PZA,ARGENTINA,3,2233,3,NP,16,bibite e bevande analcoliche,2.0,33.0
alimentare,NP,NP,PZA,ASPARI DOMENICO,2,3173,3,esterno,168,macelleria,50.0,60.0
alimentare,NP,NP,PZA,BAUSAN GIOVANNI,8,1262,9,NP,NP,bevande,15.0,35.0
