,Tipo via tmp,Nome via tmp,Civico tmp,ZD tmp,Isolato,Accesso,Info plus
19332,CSO,SAN GOTTARDO,4,5,094; , accesso esterno; , ; 
19333,VIA,GUINTELLINO GUGLIELMO,26,6,027; , accesso esterno; , loc. interno; 
19334,VLE,PREMUDA,5,1,023; , accesso esterno; , ; 
19335,VIA,AMADEO GIAN ANTONIO,46,3,201; , accesso esterno; , ; 
19336,VLE,UMBRIA,50,4,121; , accesso esterno; , ; 
19337,VIA,MANZONI ALESSANDRO,20,1,255; , accesso esterno; , ;via manzoni alessandro 020; 
19338,PZA,IMPERATORE TITO,6,4,102; , accesso esterno; , ; 
19339,VIA,TITO LIVIO,24,4,146; , accesso esterno; , ; 
19340,VLE,ELVEZIA,6,1,127; , accesso esterno; , ; 
19341,VIA,LORENTEGGIO,157,6,139; , accesso interno; , ; 
19342,VIA,SAN VINCENZO,1,1,455; , accesso esterno; , ; 
19343,VIA,MORGANTINI MARIO,19,7,281; , accesso esterno; , ; 
19344,VLE,MONTE NERO,16,4,157; , accesso esterno; , ; 
19345,CSO,DI PORTA VIGENTINA,31,1,042; , accesso esterno; , ; 
19346,VIA,MERLO CARLO GIUSEPPE,1,1,320; , accesso esterno; , ;via verziere 006*; 
19347,VIA,DEL TORCHIO,016,4,009; , accesso esterno; ,; 
19348,VIA,VALPARAISO,11,6,018; , accesso esterno; , ; 
19349,VIA,PALAZZI LAZZARO,10,3,122; , accesso esterno; , ; 
19350,VLE,FAMAGOSTA,75,6,050; , accesso esterno; , ; 
19351,VIA,BELLOTTI FELICE,4,3,165; , accesso esterno; , ; 
19352,VIA,DELLA MOSCOVA,13,1,178; , accesso esterno; , ; 
19353,VLE,COL DI LANA,14,5,096; , accesso esterno; , ; 
19354,VIA,GROSOTTO,1,8,315; , accesso esterno; , ; 
19355,VLE,LAZIO,1,4,110; , accesso esterno; , ; 
19356,CSO,SEMPIONE,38,8,056; , accesso esterno; , ; 
19357,VIA,PESTALOZZI GIOVANNI ENRICO,1,6,005; , accesso esterno; , ; 
19358,PTA,GIORDANO UMBERTO,4,1,264; , accesso esterno; , ;pta giordano umberto 004; 
19359,VIA,CRESCENZAGO,13,3,096; , accesso esterno; , ; 
19360,CSO,VERCELLI,25,7,235; , accesso esterno; , ; 
19361,VIA,SANTO SPIRITO,5,1,258; , accesso esterno; , ;via santo spirito 005; 
19362,VIA,PACINI GIOVANNI,35,3,055; , accesso esterno; , ; 
19363,VIA,MANIAGO,2,3,095; , accesso esterno; , ; 
19364,VIA,SOTTOCORNO PASQUALE,013,4,,,/15; 
19365,VIA,BELFIORE,14,7,199; , accesso esterno; , ; 
19366,VIA,ASTESANI ALESSANDRO,8,9,148; , accesso esterno; , ; 
19367,LGO,LA FOPPA,1,1,085; , accesso esterno; , ; 
19368,VIA,SANGALLO,45,3,160; , accesso interno; , ; 
19369,VLE,CERTOSA,40,8,331; , accesso esterno; , ; 
19370,VIA,QUARENGHI GIACOMO,23,8,300; , accesso interno; , ; 
19371,VLE,TIBALDI,17,5,162; , accesso esterno; , ; 
19372,VIA,BIXIO NINO,1,3,151; , accesso esterno; , ; 
19373,VIA,SCARLATTI DOMENICO,5,3,044; , accesso esterno; , ; 
19374,VIA,IMPERIA,036,6,022; , accesso esterno; ,/2; 
19375,CSO,BUENOS AIRES,75,3,007; , accesso esterno; , ; 
19376,VIA,BIGLI,20,1,314; , accesso esterno; , ;via bigli 020; 
19377,VIA,PALMI,2,7,154; , accesso esterno; , ; 
19378,VIA,STEPHENSON GIORGIO negozio interno,112,8,079; , accesso esterno; ,; 
19379,CSO,MATTEOTTI GIACOMO,11,1,263; , accesso esterno; , ;cso matteotti giacomo 011; 
19380,VIA,MADDALENA,2,1,395; , accesso esterno; , ;via maddalena 002; 
19381,VIA,URBANO III,4,1,276; , accesso esterno; , ;via urbano iii 004; 
19382,CSO,VENTIDUE MARZO,8,4,043; , accesso esterno; , ; 
19383,VIA,LUPETTA,2,1,442; , accesso esterno; , ;via lupetta 002; 
19384,CSO,SAN GOTTARDO,12,5,094; , accesso esterno; , ; 
19385,VIA,GAMBOLOITA,5,4,055; , accesso esterno; , ; 
19386,VIA,TADINO ALESSANDRO,15,3,103; , accesso interno; , ; 
19387,PZA,DEL LIBERTY,2,1,361; , accesso esterno; , ;pza del liberty 002; 
